"index","przypadki","Arima_lag1","Arima_bc","Arima_auto"
301,1230,849.90342377422,1359.4100667645,1341.19318569676
302,946,949.356302347489,1119.04242782293,1425.17078160177
303,775,790.495713691353,718.340259526473,1053.47006314533
304,579,1031.01342751486,695.721689657227,1085.96351247694
305,333,1215.70780704005,573.19589978633,764.266290740988
306,588,899.559870369476,507.553153428448,638.998338483725
307,664,456.33930202942,832.315860306001,920.391024914667
308,572,549.953822727035,743.789488196499,788.470368814597
309,319,685.480791323504,572.132852575024,797.554917364157
310,415,628.127938741315,326.698187349793,486.507018406323
311,312,616.481986514488,446.829747039503,768.593650158229
312,194,681.073286612641,298.350932540086,418.250310753464
313,400,537.76054303912,259.716576719772,515.827045351126
314,428,336.615066532716,414.524349208978,631.906389846537
315,382,485.65903309856,367.518353525364,595.407985554255
316,341,536.875792802433,311.291377846135,588.298981503906
317,239,460.366056699584,294.114925868277,546.552625637473
318,227,555.200965168514,252.453612150177,451.453678652661
319,140,568.162205895658,295.359357118021,481.112647212737
320,215,472.12399466672,214.821532871785,338.384411785317
321,241,368.878522012313,327.19744921511,501.866547677246
322,218,387.302398063013,243.214216640678,405.742959951626
323,190,427.624144542481,206.784535328065,457.629207732961
324,168,401.28034678949,143.876332530641,383.540421662876
325,133,421.476410690625,149.464709703281,406.882459480279
326,73,440.457663638747,122.052753614399,339.106442131085
327,188,404.314159756941,105.744262519429,307.885538463599
328,165,330.471067762886,229.078186238635,442.285286070154
329,147,361.579535183122,159.806604696131,326.865772698453
330,133,371.102172327537,149.130159536197,396.795781290755
331,100,363.586174687158,118.764726581359,324.80403783556
332,71,408.951939377582,108.259518388599,336.927584655152
333,52,388.293804157299,84.5914504035691,283.888337322173
334,123,339.177559706477,81.1471528062071,289.628980649807
335,104,313.810091302852,139.627389189665,355.146769410113
336,98,338.442593955993,88.805016447215,292.614996054968
337,96,332.346628890668,82.5857839530872,334.484162462104
338,107,333.774752911404,72.1421369818174,299.542442281948
339,54,363.071682145809,90.9189503543078,337.966913520928
340,38,361.245401861125,55.0845696101212,249.613618155912
341,96,329.121837431295,66.5299696068537,287.516580206132
342,103,316.379777116815,123.436597410168,315.282290042772
343,93,333.752947341887,103.354354790591,309.525388223996
344,76,315.22444637436,78.3491379695339,308.332132383226
345,86,322.130343881476,62.4660279010583,290.856673274337
346,66,359.332723091688,72.1558058324732,312.499650412994
347,44,357.314846335838,61.0139134900611,273.368423851803
348,96,321.261150100786,56.7724884387426,273.488236270083
349,86,302.883355964457,111.61533712255,325.684010771767
350,105,337.615088601461,82.1223059152197,281.83537169358
351,93,325.715062156395,99.7475596647299,339.254218828578
352,114,320.502315474838,72.9291310433386,287.26863291699
353,69,345.285771976571,101.851595908456,351.642611247878
354,67,363.143740999698,60.7233860553864,255.874140203105
355,104,341.454875861055,90.6818458446913,319.258553865913
356,124,322.592164124974,106.151651976186,308.804070588558
357,126,335.188362264717,129.706208258027,345.51600668947
358,108,330.134275266119,100.65709837559,327.798196648686
359,122,342.023220866471,101.556231947479,325.719350339741
360,82,364.653180819203,103.043173121692,342.336771315011
361,74,376.747645753367,89.7415915216845,286.150402636646
362,106,347.534412765008,91.7805628045848,312.075685046399
363,138,326.733319382301,129.707554965542,322.813081354192
364,167,338.728614778767,129.107989481948,355.10418274573
365,153,332.392053276677,135.517856746738,373.393648215117
366,153,346.499970787707,108.30328945614,355.588538042505
367,91,377.962273604607,124.548964447658,373.17684305133
368,91,406.472402172247,89.5781373957588,290.696329254491
369,164,377.910064384594,131.706633488513,340.701547171366
370,164,335.050169340799,187.871382734745,379.11179398492
371,176,348.891407506294,173.282359559911,362.150896412921
372,172,347.066656632924,155.097605431522,396.173474818416
373,181,372.105365659133,144.588562224655,372.67706613845
374,122,407.307680931352,146.266124404965,404.195041007308
375,64,407.530935407204,117.617182798496,316.16422281789
376,200,386.466583053573,91.7582316411513,305.207456296048
377,198,343.543199127888,253.565006835461,450.305376659785
378,223,370.345145750215,167.162442500439,356.909069790121
379,196,347.010246699154,197.185492931052,467.959258778557
380,211,368.83202542278,133.825724033826,364.466986226334
381,148,443.593715659674,190.099400203955,461.666229963917
382,128,448.482934427561,129.941638639581,319.035724812265
383,221,390.679789168408,185.486047401361,392.610632400356
384,208,355.328277931778,240.251842260823,431.950329560115
385,197,401.035459442618,237.346685164854,401.454449715836
386,212,386.433094351433,185.506962846776,417.570761548393
387,222,379.120678629019,205.850873094738,423.310710181698
