,0
605,2429.6787
606,5957.5957
607,5176.886
608,4611.63
609,3841.9065
610,2200.1094
611,883.5234
612,847.2351
613,2007.0144
614,1731.9585
615,1671.3728
616,1529.726
617,1640.6174
618,788.6224
619,750.4821
620,1796.28
621,1492.4574
622,1412.339
623,1440.2859
624,1328.5089
625,688.1602
626,655.60834
627,681.6501
628,1703.0627
629,1410.4762
630,1350.8623
631,1479.414
632,713.2744
633,649.09814
634,1561.4066
635,1293.1177
636,1225.1385
637,1149.7196
638,1139.4781
639,618.4083
640,579.35187
641,1159.9612
642,566.3332
643,1166.4783
644,941.21704
645,995.1958
646,592.36993
647,566.3332
648,1024.9795
649,894.68945
650,841.653
651,817.46265
652,781.1798
653,538.4387
654,503.10788
655,849.0963
656,736.52844
657,727.2262
658,676.06964
659,710.48376
660,499.38947
661,473.35782
662,773.7379
663,656.53827
664,625.8483
665,638.86804
666,639.7977
667,487.3031
668,493.81058
669,692.8106
670,633.28796
671,608.1791
672,613.75824
673,628.63824
674,469.63925
675,464.0613
676,691.88104
677,586.7902
678,650.0281
679,630.4981
680,640.7279
681,464.99078
682,454.76526
683,677.92975
684,612.8288
685,612.8288
686,458.4831
687,630.4981
688,471.49783
689,457.55353
690,719.7852
691,683.5099
692,668.6293
693,703.9722
694,699.3219
695,502.17804
696,496.59973
697,999.8493
698,857.4702
699,890.0363
700,949.59265
701,920.7443
702,550.52625
703,517.98364
704,1264.2493
705,1191.6177
706,1278.2178
707,1250.2805
708,1424.449
709,663.04865
710,598.8797
