,yhat
306,637.7376692869144
307,622.1237981207145
308,521.2287384276085
309,470.1661381867245
310,269.7479425115339
311,149.97842144531177
312,297.06450780217284
313,376.33227819313856
314,373.54093340574354
315,316.04870499821965
316,289.83390405325713
317,164.92681695056328
318,91.01358166463312
319,193.00157397702552
320,254.5102351886006
321,259.7494205866623
322,224.5070855260263
323,211.14149458862664
324,121.07978479968445
325,67.37159255199425
326,150.74067878320952
327,205.46029087625416
328,214.68632403462038
329,188.92432376498888
330,180.90018116121072
331,104.49862103100236
332,58.478625431739886
333,134.2127656731957
334,185.43958327949343
335,195.2092451179827
336,172.32838285983976
337,165.33737853573282
338,94.97482427168502
339,52.70935804015298
340,121.83851003907594
341,168.33526787569022
342,178.2048292695247
343,157.84143102084315
344,152.0808340356011
345,87.32109758925448
346,48.47456582779468
347,113.72004565655219
348,158.75267393376438
349,168.04997491429705
350,148.89304933826466
351,143.84590817190957
352,82.70103453377642
353,46.07942918758873
354,109.59567038979378
355,154.78322361871147
356,165.79563664663755
357,148.81289750156304
358,145.84053995567825
359,85.29189315349379
360,48.48556653589653
361,116.61625494874826
362,166.8161097526838
363,181.18986511872913
364,165.06784930022891
365,167.63756461807097
366,102.54296774700761
367,61.193076938856386
368,148.2295223410229
369,215.54849324302648
370,239.1015121042137
371,223.15846957644226
372,225.67626883223684
373,139.57010873980806
374,84.06748050029852
375,195.11102392018347
376,276.7203014594123
377,301.4944754730666
378,277.2463293934961
379,275.26829953338296
380,168.7757709393828
381,100.59602439094594
382,224.88419092253267
383,310.97859554529015
384,332.095514559718
385,300.17104063280993
386,293.0293038665248
387,177.41909908080962
388,104.47671381899615
389,230.0466163980152
390,315.01893439964005
391,334.2363779659725
392,300.97348491161085
393,293.47862951283594
394,178.00092587174547
395,105.34399497612469
396,233.41395636184274
397,322.40434852180493
398,345.920221936814
399,315.8789170437736
400,312.83990524155064
401,193.94855818724315
402,117.81957155525554
403,263.5977054086031
404,369.6674607562638
405,404.20316798254123
406,377.36858677875176
407,381.5439982034063
408,244.46128376038834
409,153.9822617913913
410,342.9434752343396
411,484.8050431329182
412,537.8620763989406
413,511.82592645276145
414,525.6205532292777
415,348.1475412534013
416,227.28980373604412
417,495.8651654652504
418,699.9205317048278
419,782.8833032068793
420,755.9455406595127
421,784.9477200128446
422,537.1438094699909
423,363.425136164514
424,770.9638405757172
425,1083.0154405929268
426,1220.0884774241222
427,1196.082616064236
428,1256.6632749265093
429,891.5432308320167
430,627.5403461556932
431,1291.400782468284
432,1805.0938761688965
433,2049.8746152639064
434,2042.6591036248274
435,2171.9758198508284
436,1599.9055423639925
437,1171.8582557007883
438,2326.1507894352662
439,3219.9351121314767
440,3667.718459214629
441,3693.7772350994487
442,3946.5794584790488
443,2993.2369446335883
444,2257.210305439164
445,4280.207311910161
446,5804.8613840289745
447,6554.294732299728
448,6584.270783709237
449,6975.081755678908
450,5353.991746236966
451,4079.0104883427957
452,7337.503350441732
453,9647.94101779539
454,10665.26082617316
455,10729.288897167196
456,11328.072367824852
457,8812.022733767582
458,6798.259980450888
459,11770.645837595492
460,15165.361161395662
461,16570.166037069506
462,16270.559608782283
463,16720.331150836853
464,12825.899254998063
465,9746.839183582017
466,16092.887648498607
467,20052.69026321874
468,21334.469365604884
469,20476.309594851627
470,20554.890979183983
471,15515.339852239515
472,11600.568495728867
473,18581.322811165028
474,22638.86361880724
475,23645.49035844484
476,22333.616442952723
477,22076.702324732043
478,16461.401531326697
479,12163.013012782953
480,19199.9996915838
481,23127.78230308767
482,23924.620681074004
483,22405.74588577356
484,21978.613611269982
485,16269.889703327768
486,11937.898626902803
487,18759.251102574886
488,22498.82136125787
489,23174.69002270183
490,21610.027311328136
491,21115.862144907955
492,15549.823307611776
493,11347.066954977056
494,17815.430923119868
495,21316.35346856801
496,21883.685059155854
497,20322.377694800252
498,19780.30118260955
499,14473.37864647902
500,10488.582627705053
501,16470.733496580313
502,19665.158948248914
503,20119.582326380623
504,18605.232589752908
505,18046.73650777387
506,13121.877046620773
507,9450.944475263112
508,14902.231298237682
509,17821.070965679814
510,18247.087259668646
511,16886.325793644413
512,16422.37304740646
513,11951.272794432869
514,8630.463364725614
515,13779.945034293343
516,16658.657389186585
517,17246.14756757108
518,16154.70538683698
519,15935.91242725917
520,11777.658375367522
521,8662.21803777915
522,14096.68541779285
523,17377.121251303204
524,18366.637167565823
525,17591.98880763104
526,17747.307169425512
527,13478.015776555261
528,10203.855348753139
529,16821.367900518977
530,21078.57376199992
531,22686.426374326755
532,22146.70501970676
533,22697.765422167013
534,17627.236593962058
535,13627.476131073681
536,22285.735034631314
537,27866.6930499009
538,29979.6909001435
539,29248.11253088927
540,29804.214394424605
541,23132.570587286365
542,17801.72562171907
543,28226.656444058222
544,34421.91965555293
545,36158.44162794476
546,34415.545156904
547,34086.99122087713
548,25739.60308464823
549,19192.489132864528
550,29269.34675673831
551,34419.74316662352
552,34871.592863658574
553,31984.883572538154
554,30534.87345631074
555,22128.85796507455
556,15807.88592381768
557,23532.63704261508
558,26945.255523067084
559,26550.986135876614
560,23676.168228122053
561,22075.83542415839
562,15499.084021190149
563,10745.074516361201
564,16132.677619292968
565,18491.646728951513
566,18197.16245545534
567,16203.060320923914
568,15183.835023097918
569,10622.154973427418
570,7366.916062180055
571,11496.399067387141
572,13559.339069030255
573,13679.255435211498
574,12471.99528790118
575,12009.348977555735
576,8578.414101898172
577,6087.949350502327
578,9891.349447178487
579,12039.158478272115
580,12475.453440938802
581,11645.797791907537
582,11458.018678355234
583,8328.219351459844
584,5999.321731687722
585,9865.505177983114
586,12090.333207653914
587,12559.39181542103
588,11702.749052159854
589,11442.238545604036
590,8225.612152667678
591,5829.274269877693
592,9422.050174660271
593,11308.087118434509
594,11459.278110517862
595,10373.768205582306
596,9834.906754071213
597,6794.196362831083
598,4604.588747830723
599,7281.580679885387
600,8489.772675439888
601,8318.222361946924
602,7252.718320041853
603,6641.269530137398
604,4363.945564555959
605,2806.354116741569
606,4442.378808570993
607,5111.707514563832
608,4907.966237596065
609,4175.485401119699
610,3755.842185376195
611,2374.304633512685
612,1469.0096980537678
613,2410.2288104421586
614,2813.2738451397545
615,2712.771909850767
616,2305.1303431009565
617,2086.1436734815557
618,1296.7660828525934
619,789.6017107487968
620,1373.7784746171412
621,1657.7806133088145
622,1632.9646214305335
623,1407.68404916832
624,1298.366230586925
625,805.2580581531226
626,489.0007506931619
627,899.7933400653594
628,1121.4794535483152
629,1127.663723127486
630,985.1175923340763
631,922.359354896395
632,570.4828423901472
633,344.7814134329826
634,659.5337428555637
635,838.5187011516081
636,851.7662614487646
637,747.0343857999153
638,702.9567515046384
639,430.4512918919391
640,256.96995591237874
641,504.7003305523916
642,648.6863005798053
643,660.94708662656
644,578.5446091684671
645,544.3399560649927
646,328.66149038804554
647,193.1031396049549
648,388.4031017052903
649,503.76508160503573
650,514.1964164699028
651,448.79255022366203
652,421.9676750788644
653,251.01852051989326
654,145.03502827686995
655,298.91351443762596
656,391.217170399654
657,399.8728290070478
658,347.76689582041666
659,326.50624473863104
660,191.07937979640033
661,108.37143083666939
662,228.93459027244046
663,302.2660823818211
664,309.26075712559697
665,267.9329347990847
666,251.28756021326558
667,144.72281105436633
668,80.67081121244705
669,175.41072982053115
670,234.63349680379014
671,241.53662526750435
672,209.8048443743881
673,198.09031763332595
674,113.46797218551883
675,63.00164464443514
676,142.13960801586487
677,194.62743213305995
678,204.12214783641633
679,180.40316965785735
680,173.96746473161483
681,101.31015943319576
682,57.4355037013196
683,134.38234811073147
684,189.5799202485156
685,204.5787220943321
686,186.17693296661358
687,184.93379549226918
688,111.56408062519448
689,65.79542942115236
690,156.37606391739104
691,225.1428305940906
692,248.65194154875766
693,232.11792558175247
694,235.57754573201342
695,147.20326262501914
696,90.06511500946986
697,210.74867248772952
698,303.20575537668867
699,336.82871039204247
700,317.4374453708194
701,323.55259379601296
702,206.4462071278951
703,128.9958910047488
704,291.51778745333655
705,412.90650354708595
706,455.5475840987024
707,428.565831621678
708,434.6534684201373
709,280.49363345783985
710,177.49769058810432
711,388.12926162796924
712,541.8922926630411
713,594.8546377453163
714,560.2925506012609
715,568.3598615476142
716,372.84548541285636
717,240.65714900033842
718,515.0992352635647
719,716.1288158193051
720,790.0498986675623
721,752.6861956508533
722,771.2388987774285
723,520.069378752986
724,346.2529702495528
725,727.7492429059212
